category,metric,value
revenue,revenue,174144069958.24997
revenue,revenue_yoy_growth,0.15663979743024825
revenue,revenue_cagr_3y,0.16737957482338306
revenue,revenue_cagr_5y,0.14405265005542933
profitability,gross_margin,0.9208156650336359
profitability,ebitda_margin,0.6872963258635487
profitability,ebit_margin,0.6872963258635487
profitability,net_margin,0.5129932247897817
returns,roe,0.38368438193785337
returns,roa,0.3125535841109455
returns,roce,0.5132106243897891
returns,asset_turnover,0.6092742925387098
balance_sheet,debt_to_equity,0.0017596595752053371
balance_sheet,net_debt_to_ebitda,-0.4918595048739322
balance_sheet,current_ratio,4.454078781593729
balance_sheet,interest_coverage,1138.505487055411
balance_sheet,working_capital,195210684017.7
balance_sheet,working_capital_pct_revenue,1.1209723309240482
cashflow,operating_cash_flow,92463692168.43
cashflow,free_cash_flow,87784980114.87
cashflow,cfo_to_net_income,1.0350251711923593
cashflow,capex,4678712053.56
cashflow,capex_to_revenue,0.026866904251644598
cashflow,capex_yoy_growth,0.7859343588386707
valuation,share_price,1452.87
valuation,shares_outstanding,1252270215.0
valuation,market_cap,1819385827267.0498
valuation,enterprise_value,1760515861838.1199
valuation,price_to_earnings,20.36594130268771
valuation,price_to_book,7.517771746996236
valuation,ev_to_ebitda,14.709138247614229
valuation,ev_to_sales,10.109536674204257
valuation,fcf_yield,0.048249787812590726
