category,metric,value
revenue,revenue,94827000000.0
revenue,revenue_yoy_growth,-0.029306991503736307
revenue,revenue_cagr_3y,0.051943257367141005
revenue,revenue_cagr_5y,
profitability,gross_margin,0.18026511436616155
profitability,ebitda_margin,0.12405749417360035
profitability,ebit_margin,0.05113522519957396
profitability,net_margin,0.04000970187815706
returns,roe,0.04893905191873589
returns,roa,0.02919854084255568
returns,roce,0.048650302747553185
returns,asset_turnover,0.7297865135680094
balance_sheet,debt_to_equity,0.17920060386914546
balance_sheet,net_debt_to_ebitda,-0.15249914994899694
balance_sheet,current_ratio,2.1644068865485275
balance_sheet,interest_coverage,14.346153846153847
balance_sheet,working_capital,36928000000.0
balance_sheet,working_capital_pct_revenue,0.3894249528087992
cashflow,operating_cash_flow,14747000000.0
cashflow,free_cash_flow,6220000000.0
cashflow,cfo_to_net_income,3.8869267264101213
cashflow,capex,8527000000.0
cashflow,capex_to_revenue,0.08992164678836197
cashflow,capex_yoy_growth,-0.24819255863163464
valuation,share_price,392.7799987792969
valuation,shares_outstanding,3752431984.0
valuation,market_cap,1473880230094.9146
valuation,enterprise_value,1472086230094.9146
valuation,price_to_earnings,388.47660255532804
valuation,price_to_book,17.944169254963228
valuation,ev_to_ebitda,125.13483764832664
valuation,ev_to_sales,15.523914392471706
valuation,fcf_yield,0.004220152949333913
