category,metric,value
revenue,revenue,232000.0
revenue,revenue_yoy_growth,0.09477856687822948
revenue,revenue_cagr_3y,0.11339796974580696
revenue,revenue_cagr_5y,0.13013879733438172
profitability,gross_margin,0.6896551724137931
profitability,ebitda_margin,0.5301724137931034
profitability,ebit_margin,0.43103448275862066
profitability,net_margin,0.3448275862068966
returns,roe,0.36678487837642676
returns,roa,0.1900291694775148
returns,roce,0.3180525009263279
returns,asset_turnover,0.5510845914847929
balance_sheet,debt_to_equity,0.25217391304347825
balance_sheet,net_debt_to_ebitda,-0.5447154471544715
balance_sheet,current_ratio,1.761467889908257
balance_sheet,interest_coverage,52.63157894736842
balance_sheet,working_capital,83000.0
balance_sheet,working_capital_pct_revenue,0.3577586206896552
cashflow,operating_cash_flow,98000.0
cashflow,free_cash_flow,68000.0
cashflow,cfo_to_net_income,1.225
cashflow,capex,30000.0
cashflow,capex_to_revenue,0.12931034482758622
cashflow,capex_yoy_growth,0.06734977051979933
valuation,share_price,452.1
valuation,shares_outstanding,7390.0
valuation,market_cap,3341019.0
valuation,enterprise_value,3274019.0
valuation,price_to_earnings,41.7627375
valuation,price_to_book,14.52616956521739
valuation,ev_to_ebitda,26.618040650406503
valuation,ev_to_sales,14.112150862068965
valuation,fcf_yield,0.020353071922069286
valuation,peer_pe_median,28.0
valuation,peer_pb_median,24.0
valuation,peer_ev_to_ebitda_median,18.0
valuation,peer_ev_to_sales_median,7.0
valuation,pe_premium_to_peer,0.4915263392857143
valuation,pb_premium_to_peer,-0.3947429347826087
valuation,ev_to_ebitda_premium_to_peer,0.4787800361336947
valuation,ev_to_sales_premium_to_peer,1.0160215517241378
